folder,image,image_path,pedestrian_pixels,risk_level
DAVID-sim/m1596437/Labels/Video_001,v001_0341.png,DAVID-sim/m1596437/Labels/Video_001/v001_0341.png,3358,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0036.png,DAVID-sim/m1596437/Labels/Video_001/v001_0036.png,355,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0000.png,DAVID-sim/m1596437/Labels/Video_001/v001_0000.png,418,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0270.png,DAVID-sim/m1596437/Labels/Video_001/v001_0270.png,2761,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0283.png,DAVID-sim/m1596437/Labels/Video_001/v001_0283.png,3224,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0148.png,DAVID-sim/m1596437/Labels/Video_001/v001_0148.png,154,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0178.png,DAVID-sim/m1596437/Labels/Video_001/v001_0178.png,285,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0125.png,DAVID-sim/m1596437/Labels/Video_001/v001_0125.png,95,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0323.png,DAVID-sim/m1596437/Labels/Video_001/v001_0323.png,1155,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0275.png,DAVID-sim/m1596437/Labels/Video_001/v001_0275.png,2713,Medium
DAVID-sim/m1596437/Labels/Video_001,v001_0169.png,DAVID-sim/m1596437/Labels/Video_001/v001_0169.png,179,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0117.png,DAVID-sim/m1596437/Labels/Video_001/v001_0117.png,77,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0156.png,DAVID-sim/m1596437/Labels/Video_001/v001_0156.png,168,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0042.png,DAVID-sim/m1596437/Labels/Video_001/v001_0042.png,294,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0056.png,DAVID-sim/m1596437/Labels/Video_001/v001_0056.png,605,Low
DAVID-sim/m1596437/Labels/Video_001,v001_0226.png,DAVID-sim/m1596437/Labels/Video_001/v001_0226.png,409,Low
